Concelho,Neighboring_Concelhos
Arruda dos Vinhos,"['Alenquer', 'Loures', 'Mafra', 'Sobral de Monte Agraço', 'Vila Franca de Xira']"
Azambuja,"['Alenquer', 'Cadaval', 'Vila Franca de Xira', 'Benavente', 'Cartaxo', 'Rio Maior', 'Salvaterra de Magos', 'Santarém']"
Cadaval,"['Bombarral', 'Caldas da Rainha', 'Alenquer', 'Azambuja', 'Lourinhã', 'Torres Vedras', 'Rio Maior']"
Cascais,"['Oeiras', 'Sintra']"
Lisboa,"['Amadora', 'Loures', 'Odivelas', 'Oeiras']"
Loures,"['Arruda dos Vinhos', 'Lisboa', 'Mafra', 'Odivelas', 'Sintra', 'Vila Franca de Xira']"
Lourinhã,"['Óbidos', 'Bombarral', 'Peniche', 'Cadaval', 'Torres Vedras']"
Mafra,"['Arruda dos Vinhos', 'Loures', 'Sintra', 'Sobral de Monte Agraço', 'Torres Vedras']"
Odivelas,"['Amadora', 'Lisboa', 'Loures', 'Sintra']"
Oeiras,"['Amadora', 'Cascais', 'Lisboa', 'Sintra']"
Sintra,"['Amadora', 'Cascais', 'Loures', 'Mafra', 'Odivelas', 'Oeiras']"
Sobral de Monte Agraço,"['Alenquer', 'Arruda dos Vinhos', 'Mafra', 'Torres Vedras']"
Torres Vedras,"['Alenquer', 'Cadaval', 'Lourinhã', 'Mafra', 'Sobral de Monte Agraço']"
Vila Franca de Xira,"['Alenquer', 'Arruda dos Vinhos', 'Azambuja', 'Loures', 'Benavente']"
Alter do Chão,"['Avis', 'Crato', 'Fronteira', 'Monforte', 'Ponte de Sor']"
Arronches,"['Campo Maior', 'Elvas', 'Monforte', 'Portalegre']"
Avis,"['Mora', 'Alter do Chão', 'Fronteira', 'Ponte de Sor', 'Sousel']"
Campo Maior,"['Arronches', 'Elvas']"
Castelo de Vide,"['Crato', 'Marvão', 'Nisa', 'Portalegre']"
Crato,"['Alter do Chão', 'Castelo de Vide', 'Gavião', 'Monforte', 'Nisa', 'Ponte de Sor', 'Portalegre']"
Elvas,"['Alandroal', 'Borba', 'Vila Viçosa', 'Arronches', 'Campo Maior', 'Monforte']"
Fronteira,"['Estremoz', 'Alter do Chão', 'Avis', 'Monforte', 'Sousel']"
Gavião,"['Crato', 'Nisa', 'Ponte de Sor', 'Abrantes', 'Mação']"
Marvão,"['Castelo de Vide', 'Portalegre']"
Monforte,"['Borba', 'Estremoz', 'Alter do Chão', 'Arronches', 'Crato', 'Elvas', 'Fronteira', 'Portalegre']"
Nisa,"['Vila Velha de Ródão', 'Castelo de Vide', 'Crato', 'Gavião', 'Mação']"
Ponte de Sor,"['Mora', 'Alter do Chão', 'Avis', 'Crato', 'Gavião', 'Abrantes', 'Chamusca', 'Coruche']"
Portalegre,"['Arronches', 'Castelo de Vide', 'Crato', 'Marvão', 'Monforte']"
Sousel,"['Arraiolos', 'Estremoz', 'Mora', 'Avis', 'Fronteira']"
Amarante,"['Celorico de Basto', 'Baião', 'Felgueiras', 'Lousada', 'Marco de Canaveses', 'Penafiel', 'Mondim de Basto', 'Santa Marta de Penaguião', 'Vila Real']"
Baião,"['Amarante', 'Marco de Canaveses', 'Mesão Frio', 'Peso da Régua', 'Santa Marta de Penaguião', 'Cinfães', 'Resende']"
Felgueiras,"['Guimarães', 'Celorico de Basto', 'Fafe', 'Vizela', 'Amarante', 'Lousada']"
Gondomar,"['Arouca', 'Castelo de Paiva', 'Santa Maria da Feira', 'Maia', 'Paredes', 'Penafiel', 'Porto', 'Valongo', 'Vila Nova de Gaia']"
Lousada,"['Vizela', 'Amarante', 'Felgueiras', 'Paços de Ferreira', 'Paredes', 'Penafiel', 'Santo Tirso']"
Maia,"['Gondomar', 'Matosinhos', 'Porto', 'Santo Tirso', 'Trofa', 'Valongo', 'Vila do Conde']"
Marco de Canaveses,"['Castelo de Paiva', 'Amarante', 'Baião', 'Penafiel', 'Cinfães']"
Matosinhos,"['Maia', 'Porto', 'Vila do Conde']"
Póvoa de Varzim,"['Barcelos', 'Esposende', 'Vila Nova de Famalicão', 'Vila do Conde']"
Paços de Ferreira,"['Lousada', 'Paredes', 'Santo Tirso', 'Valongo']"
Paredes,"['Gondomar', 'Lousada', 'Paços de Ferreira', 'Penafiel', 'Valongo']"
Penafiel,"['Castelo de Paiva', 'Amarante', 'Gondomar', 'Lousada', 'Marco de Canaveses', 'Paredes']"
Porto,"['Gondomar', 'Maia', 'Matosinhos', 'Vila Nova de Gaia']"
Santo Tirso,"['Guimarães', 'Vila Nova de Famalicão', 'Vizela', 'Lousada', 'Maia', 'Paços de Ferreira', 'Trofa', 'Valongo']"
Trofa,"['Vila Nova de Famalicão', 'Maia', 'Santo Tirso', 'Vila do Conde']"
Valongo,"['Gondomar', 'Maia', 'Paços de Ferreira', 'Paredes', 'Santo Tirso']"
Vila do Conde,"['Vila Nova de Famalicão', 'Maia', 'Matosinhos', 'Póvoa de Varzim', 'Trofa']"
Vila Nova de Gaia,"['Espinho', 'Santa Maria da Feira', 'Gondomar', 'Porto']"
Abrantes,"['Vila de Rei', 'Gavião', 'Ponte de Sor', 'Chamusca', 'Constância', 'Mação', 'Sardoal', 'Tomar', 'Vila Nova da Barquinha']"
Alcanena,"['Batalha', 'Porto de Mós', 'Ourém', 'Santarém', 'Torres Novas']"
Almeirim,"['Alpiarça', 'Cartaxo', 'Chamusca', 'Coruche', 'Salvaterra de Magos', 'Santarém']"
Alpiarça,"['Almeirim', 'Chamusca', 'Santarém']"
Benavente,"['Azambuja', 'Vila Franca de Xira', 'Coruche', 'Salvaterra de Magos', 'Alcochete', 'Montijo', 'Palmela']"
Cartaxo,"['Azambuja', 'Almeirim', 'Salvaterra de Magos', 'Santarém']"
Chamusca,"['Ponte de Sor', 'Abrantes', 'Almeirim', 'Alpiarça', 'Constância', 'Coruche', 'Golegã', 'Santarém', 'Vila Nova da Barquinha']"
Constância,"['Abrantes', 'Chamusca', 'Vila Nova da Barquinha']"
Coruche,"['Arraiolos', 'Montemor-o-Novo', 'Mora', 'Ponte de Sor', 'Almeirim', 'Benavente', 'Chamusca', 'Salvaterra de Magos', 'Montijo']"
Entroncamento,"['Golegã', 'Torres Novas', 'Vila Nova da Barquinha']"
Ferreira do Zêzere,"['Sertã', 'Vila de Rei', 'Alvaiázere', 'Figueiró dos Vinhos', 'Ourém', 'Tomar']"
Golegã,"['Chamusca', 'Entroncamento', 'Santarém', 'Torres Novas', 'Vila Nova da Barquinha']"
Mação,"['Proença-a-Nova', 'Sertã', 'Vila de Rei', 'Vila Velha de Ródão', 'Gavião', 'Nisa', 'Abrantes', 'Sardoal']"
Ourém,"['Alvaiázere', 'Batalha', 'Leiria', 'Pombal', 'Alcanena', 'Ferreira do Zêzere', 'Tomar', 'Torres Novas']"
Rio Maior,"['Alcobaça', 'Caldas da Rainha', 'Porto de Mós', 'Azambuja', 'Cadaval', 'Santarém']"
Salvaterra de Magos,"['Azambuja', 'Almeirim', 'Benavente', 'Cartaxo', 'Coruche']"
Santarém,"['Porto de Mós', 'Azambuja', 'Alcanena', 'Almeirim', 'Alpiarça', 'Cartaxo', 'Chamusca', 'Golegã', 'Rio Maior', 'Torres Novas']"
Sardoal,"['Vila de Rei', 'Abrantes', 'Mação']"
Tomar,"['Vila de Rei', 'Abrantes', 'Ferreira do Zêzere', 'Ourém', 'Torres Novas', 'Vila Nova da Barquinha']"
Torres Novas,"['Alcanena', 'Entroncamento', 'Golegã', 'Ourém', 'Santarém', 'Tomar', 'Vila Nova da Barquinha']"
Vila Nova da Barquinha,"['Abrantes', 'Chamusca', 'Constância', 'Entroncamento', 'Golegã', 'Tomar', 'Torres Novas']"
Alcácer do Sal,"['Montemor-o-Novo', 'Vendas Novas', 'Viana do Alentejo', 'Alvito', 'Ferreira do Alentejo', 'Grândola', 'Palmela']"
Alcochete,"['Benavente', 'Montijo', 'Palmela']"
Almada,"['Seixal', 'Sesimbra']"
Barreiro,"['Moita', 'Palmela', 'Seixal', 'Sesimbra', 'Setúbal']"
Grândola,"['Ferreira do Alentejo', 'Alcácer do Sal', 'Santiago do Cacém']"
Moita,"['Barreiro', 'Montijo', 'Palmela']"
Montijo,"['Montemor-o-Novo', 'Vendas Novas', 'Benavente', 'Coruche', 'Alcochete', 'Moita', 'Palmela']"
